"id","date_collected","retailer_type","retailer_detail","food_type","food_detail","label_type","label_language","label_date","approximate_dollar_value","image_id","collection_lat","collection_long","label_explanation"
"5e62aad057dbdc6ff70045aa","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","basil infused tuna","package printed","best if used by","2020-03-08","3.19","IMG_1971","40.69415","-73.99233",""
"5e62ab7957dbdc6ff70045ab","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","cold brew coffee with almond milk","package printed","","2020-02-19","3.29","IMG_1972","40.69415","-73.99233",""
"5e62ac6557dbdc6ff70045ac","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","chickpea snacks","package printed","best by","2020-09-19","2.39","IMG_1973","40.69415","-73.99233",""
"5e62ad3157dbdc6ff70045ad","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","pepper jack cheese snack","package printed","p5b 16:50","2020-02-09","1.39","IMG_1975","40.69415","-73.99233",""
"5e62ad5f57dbdc6ff70045ae","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","pepper jack cheese snack","package printed","p5b 16:50","2020-02-09","1.39","IMG_1977","40.69415","-73.99233",""
"5e62ad7c57dbdc6ff70045af","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","pepper jack cheese snack","package printed","p5b 16:50","2020-02-09","1.39","IMG_1978","40.69415","-73.99233",""
"5e62b0d057dbdc6ff70045b0","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","italian deli meat sandwich","sticker","use by","2020-03-04","5.99","IMG_1979","40.69415","-73.99233",""
"5e62b34f57dbdc6ff70045b2","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","red velvet cake slice","sticker","","2020-03-11","2.99","IMG_1982","40.69415","-73.99233",""
"5e62b36757dbdc6ff70045b3","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","red velvet cake slice","sticker","","2020-03-06","2.99","IMG_1983","40.69415","-73.99233",""
"5e62b37857dbdc6ff70045b4","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","red velvet cake slice","sticker","","2020-03-06","2.99","IMG_1984","40.69415","-73.99233",""
"5e62b38c57dbdc6ff70045b5","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","red velvet cake slice","sticker","","2020-03-11","2.99","IMG_1985","40.69415","-73.99233",""
"5e62b42c57dbdc6ff70045b7","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","brownie-cookie","sticker","","2020-03-06","2.99","IMG_1986","40.69415","-73.99233",""
